filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S22diaN1F2	5	杂	Classifier	0.76667	0.86941	a	0.06289	108.493	116.313	0.8646613070708296	0.8287330106245487	108.869	110.715	112.561	113.505	114.449	115.392	116.306	116.03	115.755	115.479	115.172	114.261	113.351	112.441	111.54	110.759	109.978	109.197	108.535	108.959
S22diaN1F2	6	鸭	Object	0.86941	1.08362	@	0.13870000000000005	96.488	106.047	0.9958600806492048	1.0667228757337117	99.529	98.71	98.027	97.542	97.327	97.076	96.802	96.632	96.499	97.367	98.294	99.442	100.652	101.951	103.235	104.508	105.333	106.047	105.883	105.177
S22diaN1F2	7	子	 Object(suffix)	1.08362	1.22109	I	0.04803000000000002	95.337	104.552	1.20031179138322	1.15306	107.2	106.548	105.896	105.244	104.591	103.436	102.249	101.061	99.873	98.686	98.287	98.173	98.059	97.946	97.832	97.53	97.061	96.592	96.123	95.654
S22diaN1C5	1	小	Name(prefix)	0.09488	0.2825	yaw	0.06580999999999998	110.22	113.185	0.24047478460186805	0.21669	116.473	114.528	112.584	110.933	110.702	110.471	110.24	110.257	110.297	110.338	110.581	110.929	111.278	111.55	111.708	111.866	112.055	112.418	112.782	113.145
S22diaN1C5	2	影	Name	0.2825	0.45319	iN	0.13557999999999998	115.741	119.64	0.31761	0.38250558734685164	115.329	115.896	116.43	117.17	117.946	118.393	118.901	119.461	119.525	119.575	119.629	119.273	118.853	118.556	118.4	118.331	118.418	118.332	118.063	117.98
S22diaN1C5	3	买	Verb	0.45319	0.6325	@	0.11273999999999995	101.823	117.132	0.6325	0.51976	117.938	117.209	116.608	116.022	115.296	114.586	114.028	113.432	112.67	111.899	111.108	110.322	109.543	108.732	107.888	106.686	105.234	103.71	102.154	100.952
S22diaN1C5	4	哒	Aspect	0.6325	0.6925	a	0.030000000000000027	98.089	100.929	0.6625	0.6925	97.81	97.961	98.107	98.229	98.351	98.473	98.596	98.718	98.84	98.962	99.238	99.513	99.788	100.064	100.339	100.615	100.89	101.217	101.552	101.888
S22diaN1C5	5	杂	Classifier	0.6925	0.77362	a	0.06479999999999997	101.11	105.742	0.7717658398493801	0.7495105190346004	104.969	104.932	104.894	104.857	104.857	104.862	104.866	104.954	105.098	105.241	105.378	105.499	105.619	105.739	105.533	105.32	105.107	104.236	103.048	101.86
S22diaN1C5	6	李	Object	0.77362	0.97077	i	0.15011000000000008	99.632	110.194	0.97077	0.82066	110.334	110.139	110.076	109.577	109.025	108.496	108.17	107.977	107.925	108.125	108.644	109.208	109.592	109.978	109.957	109.413	108.358	107.08	105.18	100.808
S22diaN1C5	7	子	 Object(suffix)	0.97077	1.13846	I	0.06596000000000002	91.908	95.765	1.1188856104285292	1.0725	97.544	96.993	96.441	95.89	95.476	95.103	94.729	94.377	94.044	93.711	93.337	92.856	92.376	91.91	92.005	92.099	92.193	92.8	93.553	94.306
S22diaD5	1	小	Name(prefix)	0.43402	0.6025	yaw	0.05396000000000001	103.764	107.588	0.5545676600562881	0.5859467410116601	103.778	103.776	103.772	103.768	103.764	104.054	104.407	104.76	105.112	105.684	106.294	106.904	107.514	107.553	107.514	107.474	107.435	107.428	107.426	107.423
S22diaD5	2	映	Name	0.6025	0.73204	iN	0.10196000000000005	122.952	155.789	0.63008	0.7047406471793966	120.656	123.175	126.29	129.404	132.481	135.556	137.035	138.272	140.218	142.38	146.042	150.46	153.287	154.88	155.749	155.773	155.471	154.59	153.562	152.113
S22diaD5	3	卖	Verb	0.73204	0.8425	@	0.06842000000000004	109.107	127.202	0.8425	0.77408	127.22	125.721	124.232	122.742	121.478	120.249	119.021	118.032	117.131	116.231	115.501	114.885	114.27	113.635	112.978	112.322	111.588	110.701	109.814	108.494
S22diaD5	4	哒	Aspect	0.8425	0.9325	a	0.04642999999999997	94.919	103.049	0.9325	0.88607	104.271	103.789	103.307	102.883	102.526	102.168	101.811	101.454	101.088	100.721	100.353	99.986	99.462	98.425	97.388	96.351	95.315	94.252	93.173	92.095
